Group,NPS,X1,X2,X3,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3,H4,overall_score,overall_A,overall_B,overall_C,overall_D,Overall_E,Overall_F,Overall_G,Overall_H
G1,5,2,4,1,2,2,2,3,5,2,2,1,5,5,3,2,2,5,1,2,2,5,5,5,3,4,4,2,2,4,2,3,2,3,5,4,2.3,2,2.5,3.8,2.5,4.3,3.3,2.8,3.5
G2,3,2,2,3,1,4,5,5,3,1,5,1,3,5,3,3,2,3,2,5,2,1,3,2,4,4,4,3,3,2,3,2,4,1,4,2,2.3,3.3,2.5,3.5,3,2,3.8,2.5,2.8
G3,3,2,2,3,3,4,2,3,4,3,1,4,4,3,3,3,1,3,2,3,1,3,5,1,2,5,5,4,2,5,4,3,1,3,2,2,2.3,3,3,3.3,2.3,2.5,4,3.5,2
G4,3,4,1,3,3,3,5,5,2,4,1,2,2,1,4,1,5,5,3,1,4,1,4,4,5,2,2,1,4,2,4,2,3,1,2,3,2.7,3.7,2.3,2,3.5,3.3,2.5,3,2.3
G5,5,3,2,2,2,2,1,2,3,3,2,5,1,2,5,5,4,4,5,2,4,5,5,1,5,5,1,5,4,4,5,4,4,1,5,1,2.3,1.7,3.3,3.3,3.8,3.8,4,4.3,2.8
G6,9,5,5,5,2,4,5,5,1,1,4,5,3,4,4,2,5,4,3,1,2,5,3,2,3,5,2,2,5,3,3,4,1,3,5,1,5,3.7,2.8,3.3,3.3,3,3,3.8,2.5
G7,8,4,5,1,4,4,1,2,5,1,3,5,1,5,2,2,1,2,1,5,4,1,4,2,5,5,2,3,4,2,2,5,1,3,5,2,3.3,3,3.5,2.5,2.3,2.8,3.8,3.3,2.8
G8,8,2,1,3,1,1,2,2,5,4,5,4,4,2,4,3,2,2,1,3,1,4,2,2,3,2,3,1,1,4,1,1,1,4,2,2,2,1.3,4.5,3.3,2,2.3,2.3,1.8,2.3
G9,10,3,3,2,4,4,3,4,5,1,3,4,4,5,3,4,5,3,4,1,3,5,2,2,1,3,2,2,1,1,3,1,3,4,5,3,2.7,3.7,3.3,4,3.3,3,2,1.5,3.8
G10,4,3,4,1,2,3,3,5,5,2,1,1,5,4,2,1,2,1,1,2,1,2,3,2,1,4,5,3,2,3,1,3,4,3,3,4,2.7,2.7,2.3,3,1.5,2,3.3,2.3,3.5
G11,8,1,5,3,3,4,4,3,1,1,2,4,1,2,2,2,5,3,2,5,4,3,3,1,3,4,5,1,5,1,5,1,4,1,4,3,3,3.7,2,1.8,3.8,2.8,3.3,3,3
G12,9,3,1,1,2,3,2,1,2,4,1,4,1,3,3,5,3,5,3,5,3,3,5,5,3,4,2,5,3,1,2,4,5,2,1,3,1.7,2.3,2.8,3,4,4,3.5,2.5,2.8
G13,8,4,4,3,3,5,3,1,3,3,2,1,4,4,2,2,2,3,4,4,1,1,1,5,5,1,5,2,1,2,1,2,5,2,4,1,3.7,3.7,2.3,3,3.3,2,3.3,1.5,3
G14,10,5,3,1,3,4,3,3,2,1,3,1,4,1,2,2,3,3,5,5,2,1,1,5,4,5,2,1,3,5,2,3,5,1,1,1,3,3.3,1.8,2.3,4,2.3,3,3.3,2
G15,4,4,3,5,1,4,1,2,1,2,4,4,1,2,1,5,3,1,5,5,4,3,1,5,4,5,4,2,2,3,1,4,4,3,4,4,4,2,2.8,2.3,3.5,3.3,3.8,2.5,3.8
G1,1,3,1,5,4,4,1,3,2,3,3,1,2,3,3,4,5,3,4,1,3,3,1,4,5,1,2,5,2,4,3,4,5,3,4,4,3,3,2.3,3,3.3,2.8,3.3,3.3,4
G2,8,5,2,5,3,5,2,2,1,3,2,1,4,2,4,3,4,5,1,3,3,2,5,3,2,4,5,3,5,1,1,1,2,3,2,5,4,3.3,1.8,3.3,3.3,3.3,3.5,2,3
G3,8,3,1,1,5,5,1,4,1,2,4,1,4,4,2,4,4,2,2,3,4,4,3,5,5,3,3,4,3,5,3,3,3,4,3,1,1.7,3.7,2,3.5,2.8,4,3.8,3.5,2.8
G4,2,1,3,2,2,5,3,5,4,3,5,5,5,3,2,3,5,5,1,2,3,3,2,4,3,5,3,3,3,4,2,2,4,3,4,1,2,3.3,4.3,3.3,3.3,3,3.5,2.8,3
G5,10,2,4,4,5,4,4,4,1,2,3,3,2,1,1,5,2,5,5,5,3,3,4,1,1,2,1,1,2,2,3,5,5,1,2,5,3.3,4.3,2.3,2.3,4.3,2.8,1.3,3,3.3
G6,7,3,5,3,1,2,3,5,2,4,3,5,2,1,2,3,5,3,2,3,1,5,1,1,5,3,3,3,4,5,5,5,5,4,5,3,3.7,2,3.5,2,3.3,2,3.5,4.8,4.3
G7,5,3,2,1,1,4,3,2,1,4,3,3,3,2,2,3,2,4,5,3,4,2,4,2,1,4,1,2,4,5,5,3,5,4,3,5,2,2.7,2.8,2.5,3.5,3,2,4.3,4.3
G8,6,5,1,2,4,5,3,2,1,4,1,1,4,5,2,4,3,1,2,3,1,2,2,5,2,2,1,4,4,1,4,4,3,2,2,3,2.7,4,1.8,3.8,2.3,2.5,2.3,3.3,2.5
G9,4,2,3,5,2,5,5,1,4,2,2,2,4,1,1,4,2,1,3,3,2,3,3,2,2,2,2,2,2,3,5,3,3,4,3,2,3.3,4,2.5,2.5,2.3,2.5,2,3.3,3
G10,8,2,3,4,5,4,4,4,1,3,2,3,1,4,5,5,3,1,1,4,2,1,1,3,1,5,4,1,3,1,5,3,5,1,2,2,3,4.3,2.3,3.8,2.3,1.8,2.8,3,2.5
G11,6,2,1,2,4,5,5,2,4,2,5,4,4,2,1,1,2,2,1,5,4,5,2,1,5,3,2,1,1,3,1,5,5,2,5,3,1.7,4.7,3.8,2,2.5,3,2.8,2.5,3.8
G12,1,1,3,1,2,4,4,4,5,2,2,5,5,1,4,3,3,3,4,1,2,1,5,1,5,1,2,5,4,2,2,5,4,5,4,5,1.7,3.3,3.5,3.3,2.8,2.3,3.3,3.3,4.5
G13,1,5,4,5,1,5,3,3,3,1,2,5,5,2,2,2,1,2,1,1,2,3,4,4,5,5,3,4,1,4,1,4,2,4,1,5,4.7,3,2.8,2.8,1.3,3.3,4.3,2.5,3
G14,2,2,4,1,1,3,3,5,2,3,1,5,3,4,3,2,3,1,3,3,4,1,3,4,1,3,5,2,4,1,3,2,5,1,1,2,2.3,2.3,2.8,3,2.5,3,2.8,2.5,2.3
G15,4,2,5,2,4,5,4,5,5,5,1,2,5,2,5,2,4,1,3,3,1,4,3,5,4,1,2,5,4,5,3,4,3,1,2,1,3,4.3,3.3,3.5,2.8,3.3,3,4,1.8
G1,4,3,4,3,4,2,1,1,5,5,5,4,2,2,5,2,2,2,2,3,2,3,4,3,3,1,1,5,1,3,3,5,5,5,4,1,3.3,2.3,4.8,2.8,2.3,3,2.5,3,3.8
